name,ra,dec,weight,other,flux,N0,flux_at,integrated_flux,r39
1LHAASO J0007+7303u,1.48,73.15,1,,4.5089999999999995e-12,5.01,3,3.5272436150438372e-09,0.0
1LHAASO J0428+5531*,67.23,55.53,1,,4.257000000000001e-12,4.73,3,2.5834264328287286e-09,1.18
1LHAASO J0534+2200u,83.623,22.012,1,  Crab                  (0.01),1.899e-11,21.1,3,1.2673093384008374e-08,0.0
1LHAASO J1104+3810,166.07,38.18,1,  Mrk 421         (0.02),3.3120000000000004e-12,3.68,3,2.278857126035384e-08,0.0
1LHAASO J1653+3943,253.43,39.73,1,  Mrk 501         (0.04),3.393e-12,3.77,3,5.0394358932198094e-09,0.0
1LHAASO J1809-1918u,272.66,-19.32,1,,3.1140000000000003e-12,3.46,3,5.154233895748962e-10,0.35
1LHAASO J1814-1719u*,273.69,-17.33,1,  2HWC J1814-173        (0.16),2.385e-11,26.5,3,2.487065400890484e-08,0.71
1LHAASO J1825-1418,276.29,-14.32,1,  HESS J1825-137        (0.56),3.528e-11,39.2,3,5.962514075849886e-08,0.81
1LHAASO J1825-1256u,276.55,-13.04,1,,7.442999999999999e-12,8.27,3,3.857456805091925e-09,0.24
1LHAASO J1825-1337u,276.55,-13.73,1,,9.36e-12,10.4,3,4.017885353778113e-09,0.17
1LHAASO J1831-1007u*,277.75,-10.12,1,  HESS J1831-098        (0.25),1.6020000000000003e-11,17.8,3,1.1391650123506926e-08,0.78
1LHAASO J1834-0831,278.62,-8.53,1,  HESS J1834-087        (0.24),5.391000000000001e-12,5.99,3,1.2599352396128016e-08,0.4
1LHAASO J1841-0519,280.33,-5.33,1,  HESS J1841-055        (0.25),1.3679999999999998e-11,15.2,3,1.6748389957138082e-08,0.6
1LHAASO J1843-0335u,281.01,-3.5,1, ,8.109000000000001e-12,9.01,3,3.824245720958171e-09,0.4
1LHAASO J1850-0004u*,282.74,-0.07,1,  HESS J1852-000        (0.36),4.77e-12,5.3,3,1.6978556101998516e-09,0.46
1LHAASO J1852+0050u*,283.73,1.4,1, ,4.2030000000000006e-12,4.67,3,3.28786979685723e-09,0.64
1LHAASO J1857+0245,284.37,2.75,1,  HESS J1857+026        (0.11),3.636e-12,4.04,3,5.228968984139264e-09,0.24
1LHAASO J1908+0615u,287.05,6.26,1, ,7.173e-12,7.97,3,2.055271675062424e-09,0.43
1LHAASO J1912+1014u,288.22,10.25,1,  HESS J1912+101        (0.10),2.763e-12,3.07,3,1.7863726600332563e-09,0.36
1LHAASO J1945+2424*,296.36,24.4,1,  2HWC J1949+244        (0.97),3.843e-12,4.27,3,1.7021491387696597e-09,1.29
1LHAASO J2005+3415*,301.3,34.25,1,  2HWC J2006+341        (0.22),3.177e-12,3.53,3,1.4982893890102496e-09,0.74
1LHAASO J2018+3643u,304.61,36.75,1, ,1.971e-12,2.19,3,1.3588859740406077e-10,0.26
1LHAASO J2020+3638,305.14,36.63,1,  VER J2019+368         (0.28),3.2310000000000003e-12,3.59,3,1.7281184688843803e-09,1.27
1LHAASO J2031+4127u,307.85,41.6,1, ,2.763e-12,3.07,3,5.318614695697343e-10,0.27
1LHAASO J2229+5927u,337.26,59.45,1,,1.341e-11,14.9,3,8.399720387706913e-09,1.98
